BulkDensity,SoilTypeWRB,Longitude,PrecipitationofColdestQuarter,AnnualMeanTemperature,SiltContent,PrecipitationofDriestQuarter,SoilTextureUSDA,Isothermality,SoilOrganicCarbon
0.9,1.4539564516512635,-117.0,173.0,8.458333015441895,0.714,80.0,1.2082299202827496,37.69607925415039,0.0319
1.25,1.4663270277484235,-117.0,173.0,8.458333015441895,0.705,80.0,1.2252346807417742,37.69607925415039,0.0143
0.75,1.4556635417888972,-117.0,173.0,8.458333015441895,0.715,80.0,1.2258066521369944,37.69607925415039,0.0371
1.1,1.4899985380692564,-117.0,173.0,8.458333015441895,0.704,80.0,1.2575881620666653,37.69607925415039,0.0147
0.9,1.4801846599708621,-117.0,173.0,8.458333015441895,0.714,80.0,1.2577972614335253,37.69607925415039,0.0319
1.1,1.5036957807998992,-117.0,173.0,8.458333015441895,0.704,80.0,1.2816352704769869,37.69607925415039,0.0147
1.1,1.498398283793559,-117.0,173.0,8.458333015441895,0.736,80.0,1.2842712435700576,37.69607925415039,0.0182
1.1,1.4908596462820152,-117.0,173.0,8.458333015441895,0.736,80.0,1.2847890282821537,37.69607925415039,0.0182
0.9,1.4924677795208137,-117.0,173.0,8.458333015441895,0.714,80.0,1.291719312044582,37.69607925415039,0.0319
1.25,1.5188157613857791,-117.0,173.0,8.458333015441895,0.74,80.0,1.3170839596039134,37.69607925415039,0.0134
1.3934383129599999,1.2445244112569467,1.0,94.0,14.05000019073486,0.52,92.0,1.3132413477936953,38.66442108154297,0.013954
1.3747255990200002,1.218135781800629,1.0,94.0,14.05000019073486,0.52,92.0,1.3087728489639001,38.66442108154297,0.013954
1.38110831296,1.1879328440127543,1.0,94.0,14.05000019073486,0.52,92.0,1.3027315550613339,38.66442108154297,0.013954
1.66,1.5898909570222388,-8.0,239.0,16.54583358764648,0.074,25.0,1.8976490671400243,44.75190734863281,0.0085
1.83,1.5043526913368175,-8.0,239.0,16.54583358764648,0.138,25.0,1.7795298059595313,44.75190734863281,0.0083
1.62,1.4187500716187211,-8.0,239.0,16.54583358764648,0.129,25.0,1.4735732651134856,44.75190734863281,0.0114
1.7,1.8260366830324364,-8.0,239.0,16.54583358764648,0.251,25.0,1.686500623728112,44.75190734863281,0.0074
1.28,1.0532773724541353,17.6,109.0,5.679166793823242,0.41,93.0,1.4735732651134856,27.90359878540039,0.017
1.44,1.4735732651134856,175.3,303.0,12.37083339691162,0.21,216.0,1.6217404532151511,47.01426315307617,0.04
1.4536083129600008,1.1430204547516782,110.3,9.0,8.012499809265137,0.333,9.0,1.6004896692723358,29.98168563842773,0.0034
1.4745283129600009,1.1946526550700618,110.3,9.0,8.012499809265137,0.333,9.0,1.5978772215091837,29.98168563842773,0.0034
1.471628312960001,1.2278182319045041,110.3,9.0,8.012499809265137,0.333,9.0,1.5920586451242316,29.98168563842773,0.0034
1.4426183129600003,1.220981998567284,110.3,9.0,8.012499809265137,0.355,9.0,1.56929007951413,29.98168563842773,0.003
1.4420183129600002,1.255669843970174,110.3,9.0,8.012499809265137,0.355,9.0,1.5709529904383772,29.98168563842773,0.003
1.3879730806900006,1.2883292290556698,110.3,9.0,8.012499809265137,0.355,9.0,1.574602013036365,29.98168563842773,0.003
1.3355361613800005,1.3045275288538252,110.3,9.0,8.012499809265137,0.355,9.0,1.5711613363725159,29.98168563842773,0.003
1.3130461613800002,1.3057477665394812,110.3,9.0,8.012499809265137,0.335,9.0,1.5603113155064505,29.98168563842773,0.0024
1.3207461613800004,1.3270971198441799,110.3,9.0,8.012499809265137,0.335,9.0,1.563047846781597,29.98168563842773,0.0024
1.2997676772700004,1.344147605814461,110.3,9.0,8.012499809265137,0.335,9.0,1.5645221287250803,29.98168563842773,0.0024
1.2989676772700003,1.3432331461304785,110.3,9.0,8.012499809265137,0.335,9.0,1.5554482695889909,29.98168563842773,0.0024
1.28874616138,1.3394403779426085,110.3,9.0,8.012499809265137,0.321,9.0,1.5450599380763919,29.98168563842773,0.0027
1.26874616138,1.3526280704690326,110.3,9.0,8.012499809265137,0.321,9.0,1.5466651737145445,29.98168563842773,0.0027
1.2733676772700002,1.3729943295607607,110.3,9.0,8.012499809265137,0.321,9.0,1.5540199350452013,29.98168563842773,0.0027
1.2683676772700003,1.3794689699859408,110.3,9.0,8.012499809265137,0.321,9.0,1.552517996493346,29.98168563842773,0.0027
1.52,1.7656179404276813,52.5,119.0,18.22916603088379,0.137,2.0,1.535128647580664,39.75876998901367,0.0136
1.37,1.362831661359316,172.5,183.0,11.81666660308838,0.519,150.0,1.2802259077344975,49.52830123901367,0.022
1.25,1.3652310563887806,172.5,183.0,11.81666660308838,0.519,150.0,1.2835066658131287,49.52830123901367,0.029
1.2317581907100001,1.4735732651134856,-93.0,69.0,7.170833587646484,0.6,69.0,1.301855823955344,25.33407592773438,0.031
1.24188643032,1.321786869188918,-93.0,69.0,7.170833587646484,0.6,69.0,1.2988591114396397,25.33407592773438,0.031
1.25146,1.1426043030067035,-93.0,69.0,7.170833587646484,0.6,69.0,1.2874231127552538,25.33407592773438,0.031
1.01,1.3947014484529314,172.5,195.0,11.82499980926514,0.52,142.0,1.287546319459254,49.68102264404297,0.0255
1.25,1.4059618506682008,172.5,195.0,11.82499980926514,0.52,142.0,1.2958157914672415,49.68102264404297,0.0255
1.24,1.391580018153578,172.5,195.0,11.82499980926514,0.52,142.0,1.290320341755174,49.68102264404297,0.0255
1.24,1.3936752441181763,172.5,195.0,11.82499980926514,0.52,142.0,1.293541378029512,49.68102264404297,0.0255
1.32,1.3931207961387393,172.5,195.0,11.82499980926514,0.52,142.0,1.2952335644828008,49.68102264404297,0.0255
1.34,1.391914973512324,172.5,195.0,11.82499980926514,0.52,142.0,1.296467258119857,49.68102264404297,0.0255
1.53,1.3366177594443664,-6.0,224.0,18.64999961853027,0.299,22.0,1.4096752667358812,40.83924102783203,0.0054
1.26,1.3393666243451616,-6.0,224.0,18.64999961853027,0.299,22.0,1.4070157745296978,40.83924102783203,0.0054
1.65,1.3721800343137704,-6.0,224.0,18.64999961853027,0.299,22.0,1.4373409173400262,40.83924102783203,0.0054
1.39,1.3240176574477138,-6.0,224.0,18.64999961853027,0.299,22.0,1.3816236564811488,40.83924102783203,0.0054
