BulkDensity,AnnualPrecipitation,SoilOrganicCarbon,AverageAridityIndex,Season_sin,SoilTypeWRB,MeanDiurnalRange,UpperD_m,MeanTemperatureofDriestQuarter,Longitude,MeanTemperatureofWarmestQuarter,PrecipitationofDriestQuarter
1.1,1008.0,0.031,0.1065,0.8660254037844387,1.005861049747296,9.291666984558105,0.0,-4.300000190734863,-81.0,19.08333396911621,210.0
1.23,506.0,0.0115,0.0295,0.0,1.0130246722163359,12.60000038146973,0.0,19.81666564941406,146.0,22.54999923706055,94.0
1.33,506.0,0.0115,0.0295,0.0,1.003078602943276,12.60000038146973,0.0,19.81666564941406,146.0,22.54999923706055,94.0
1.4789343520900002,852.0,0.0077,0.0357,-2.449293598294706e-16,1.2621258000467888,12.55833339691162,0.0,26.93333435058594,-1.0,31.06666564941406,5.0
1.4877543520900003,852.0,0.0077,0.0357,-2.449293598294706e-16,1.5498993766796862,12.55833339691162,0.0,26.93333435058594,-1.0,31.06666564941406,5.0
1.5057626650500004,852.0,0.0077,0.0357,-2.449293598294706e-16,1.6774581106406385,12.55833339691162,0.0,26.93333435058594,-1.0,31.06666564941406,5.0
1.5118126650500006,852.0,0.0077,0.0357,-2.449293598294706e-16,1.744114181468541,12.55833339691162,0.0,26.93333435058594,-1.0,31.06666564941406,5.0
1.56,717.0,0.00684,0.0328,-2.449293598294706e-16,1.2621258000467888,12.32499980926514,0.0,23.25,78.6,31.41666793823242,13.0
1.62,717.0,0.00625,0.0328,-2.449293598294706e-16,1.2494148972880184,12.32499980926514,0.0,23.25,78.6,31.41666793823242,13.0
1.41,717.0,0.00889,0.0328,-2.449293598294706e-16,1.2446697168844378,12.32499980926514,0.0,23.25,78.6,31.41666793823242,13.0
1.37,717.0,0.01782,0.0328,-2.449293598294706e-16,1.3146773742249025,12.32499980926514,0.0,23.25,78.6,31.41666793823242,13.0
1.05,1676.0,0.0242,0.1425,0.0,1.1766021798398356,8.741666793823242,0.0,5.900000095367432,135.3,24.36666679382324,328.0
1.1,1676.0,0.0117,0.1425,0.0,1.198666915382946,8.741666793823242,0.0,5.900000095367432,135.3,24.36666679382324,328.0
1.15,1676.0,0.0064,0.1425,0.0,1.2328382247136462,8.741666793823242,0.0,5.900000095367432,135.3,24.36666679382324,328.0
1.05,1676.0,0.0242,0.1425,0.0,1.2244829396261643,8.741666793823242,0.0,5.900000095367432,135.3,24.36666679382324,328.0
1.1,1676.0,0.0117,0.1425,0.0,1.211479720787575,8.741666793823242,0.0,5.900000095367432,135.3,24.36666679382324,328.0
1.15,1676.0,0.0064,0.1425,0.0,1.2078806365645849,8.741666793823242,0.0,5.900000095367432,135.3,24.36666679382324,328.0
1.34675139364,542.0,0.006,0.0321,-6.752204463386446e-17,1.427000608733405,10.25833320617676,0.0,24.41666603088379,-6.2,24.76666641235352,21.0
1.09,670.0,0.01,0.05520000000000001,0.0,0.9918548012283921,9.75,0.0,20.60000038146973,1.4,20.76666641235352,146.0
